sl_min_atr_multiple,sl_band_buffer_mult,trade_count,win_rate,expectancy,profit_factor,max_drawdown_pct,sharpe,error
0.25,0.25,35,0.5142857142857142,-0.09836448348303406,1.1791667194663513,0.05344624082608291,0.6032801290947974,
0.25,0.375,10,0.5,0.11952104369189842,2.1997320344063365,0.019206570998370098,1.911973672404084,
0.25,0.5,8,0.375,-0.028164042337825324,0.7485277405044272,0.029581104275583355,-0.810711264128519,
0.3,0.25,32,0.53125,-0.06989696408048851,1.7606197381861646,0.031923842273629634,1.847199785794587,
0.3,0.375,10,0.5,0.11952104369189842,2.1997320344063365,0.019206570998370098,1.911973672404084,
0.3,0.5,8,0.375,-0.028164042337825324,0.7485277405044272,0.029581104275583355,-0.810711264128519,
0.35,0.25,32,0.53125,-0.06989696408048851,1.7606197381861646,0.031923842273629634,1.847199785794587,
0.35,0.375,10,0.5,0.11952104369189842,2.1997320344063365,0.019206570998370098,1.911973672404084,
0.35,0.5,8,0.375,-0.028164042337825324,0.7485277405044272,0.029581104275583355,-0.810711264128519,
0.4,0.25,32,0.53125,-0.06989696408048851,1.7606197381861646,0.031923842273629634,1.847199785794587,
0.4,0.375,10,0.5,0.11952104369189842,2.1997320344063365,0.019206570998370098,1.911973672404084,
0.4,0.5,8,0.375,-0.028164042337825324,0.7485277405044272,0.029581104275583355,-0.810711264128519,
0.45,0.25,32,0.53125,-0.06989696408048851,1.7606197381861646,0.031923842273629634,1.847199785794587,
0.45,0.375,10,0.5,0.11952104369189842,2.1997320344063365,0.019206570998370098,1.911973672404084,
0.45,0.5,8,0.375,-0.028164042337825324,0.7485277405044272,0.029581104275583355,-0.810711264128519,
0.5,0.25,32,0.53125,-0.06989696408048851,1.7606197381861646,0.031923842273629634,1.847199785794587,
0.5,0.375,10,0.5,0.11952104369189842,2.1997320344063365,0.019206570998370098,1.911973672404084,
0.5,0.5,8,0.375,-0.028164042337825324,0.7485277405044272,0.029581104275583355,-0.810711264128519,
